osmid,y,x,street_count,highway,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
266954459,-12.2195787,-76.9755661,3,,POINT (-76.97556609999999 -12.2195787),6416609277,1674228150,3780.085999999999,5145408791,1674115478,4197.536999999999,9724186,4152129002,4361.8949999999995,810621944,3748686872,2223.491,318961595,1723415003,5160.485,5256257609,5390458004,874.779,154973504,6289932916,3054.183
266954485,-12.2426179,-76.9429833,3,,POINT (-76.94298329999999 -12.2426179),4103814916,1273536688,4416.201000000002,5145408791,1674115478,7941.606999999998,372661035,1711900265,4474.319,435675644,1675395395,4242.848,319726292,4370544994,4586.137000000001,5593383528,266954485,0.0,126861408,4370504454,6744.685000000004
289311395,-12.2175791,-76.976201,3,,POINT (-76.976201 -12.2175791),6416609277,1674228150,3833.4019999999996,5145408791,1674115478,4250.853,9724186,4152129002,4415.211,810621944,3748686872,1972.1260000000002,318961595,1723415003,5213.801,371290611,3717263219,1629.852,154973504,6289932916,2802.818
289311716,-12.2188051,-76.9757513,3,,POINT (-76.9757513 -12.2188051),6416609277,1674228150,,5145408791,1674115478,,9724186,4152129002,,810621944,3748686872,,318961595,1723415003,,5256257609,5390458004,,154973504,6289932916,
289313689,-12.2054486,-76.9744395,3,,POINT (-76.9744395 -12.2054486),5029258645,1674228150,2569.9569999999994,6695199631,1674115478,3570.717,9724186,4152129002,3151.7660000000005,810621944,3748686872,693.667,318961595,1723415003,3928.7139999999986,5256493608,1663764970,518.095,154973504,6289932916,1428.3149999999998
289313690,-12.2122254,-76.9756697,3,,POINT (-76.9756697 -12.2122254),5029258645,1674228150,3222.631999999999,6695199631,1674115478,3640.0830000000005,9724186,4152129002,3804.4410000000003,810621944,3748686872,1361.356,318961595,1723415003,4603.030999999999,5256493608,1663764970,1185.784,154973504,6289932916,2192.0480000000002
472560569,-12.2285931,-76.9123736,3,,POINT (-76.9123736 -12.2285931),3759586688,3756733907,425.356,5145408791,1674115478,7309.473000000002,371266564,4370544994,1858.3219999999997,8156706309,4341425376,962.9369999999999,319726292,4370544994,1858.3219999999997,442621023,3748480940,633.471,126861408,4370504454,3822.359
943248214,-12.2207006,-76.9492394,4,,POINT (-76.9492394 -12.2207006),3748015510,5433685855,2065.33,5145408791,1674115478,2944.8340000000007,436277181,5057286492,587.622,8169223621,4711675531,438.14899999999994,318181467,1273935394,1625.2849999999999,370735319,1675341923,233.982,126861408,4370504454,2289.2619999999997
943248221,-12.2103407,-76.9318552,4,,POINT (-76.9318552 -12.2103407),3748015458,5465442389,1115.125,5145408791,1674115478,3392.436999999999,126861263,3792763316,46.858000000000004,493767069,3757988629,197.27999999999997,319723919,1273470841,832.209,5597168936,1404136227,370.648,126861408,4370504454,588.4300000000001
943248268,-12.2130224,-76.9538549,4,,POINT (-76.9538549 -12.2130224),3748015510,5433685855,1770.5349999999999,5145408791,1674115478,1961.125,436277181,5057286492,1560.534,371779476,3749287654,573.664,318181467,1273935394,2233.0129999999995,371404723,1675043824,454.359,126861408,4370504454,3278.024
943248669,-12.2232528,-76.9596478,3,,POINT (-76.9596478 -12.2232528),3748015510,5433685855,2855.823,5145408791,1674115478,3726.882000000001,436277181,5057286492,1818.8430000000003,443795756,2465762615,240.547,318181467,1273935394,2704.4500000000003,764046712,4284541245,671.1320000000001,126861408,4370504454,3528.924
943248671,-12.2247883,-76.956775,3,,POINT (-76.95677499999999 -12.2247883),3748015510,5433685855,3017.539,5145408791,1674115478,3892.670000000001,436277181,5057286492,1462.409,443795756,2465762615,115.887,318181467,1273935394,2577.4939999999997,443795754,4711675538,662.9640000000002,126861408,4370504454,3172.49
943248828,-12.2157063,-76.95223,4,traffic_signals,POINT (-76.95223 -12.2157063),3748015510,5433685855,1429.5949999999998,5145408791,1674115478,2305.244,436277181,5057286492,1259.6840000000002,479385959,4724998898,613.6289999999999,318181467,1273935394,1892.0729999999999,403674211,4370478323,421.734,126861408,4370504454,2934.1000000000004
943248930,-12.2060321,-76.9356274,3,,POINT (-76.9356274 -12.2060321),3748391249,4065928636,451.48199999999997,5145408791,1674115478,2872.0469999999996,126861263,3792763316,752.512,460371907,1273947418,307.675,318181467,1273935394,1130.265,5597168943,4370478279,405.44599999999997,126861408,4370504454,1267.3980000000001
943248946,-12.2040594,-76.9330071,3,,POINT (-76.9330071 -12.2040594),435509116,943248946,0.0,5145408791,1674115478,2980.456999999999,126861263,3792763316,1256.366,460371907,1273947418,707.6089999999999,318181467,1273935394,1530.199,483127639,1712276659,695.2070000000001,126861408,4370504454,1667.332
943248952,-12.2130049,-76.9483784,4,traffic_signals,POINT (-76.9483784 -12.2130049),3748015510,5433685855,1051.972,5145408791,1674115478,1753.8200000000002,436277181,5057286492,909.497,370233098,1675043877,418.825,318181467,1273935394,1514.4499999999998,5256294151,4152129024,54.04600000000001,126861408,4370504454,2559.4609999999993
1273449138,-12.2246028,-76.9305266,3,,POINT (-76.93052659999999 -12.2246028),4103814916,1273536688,1546.9030000000002,5145408791,1674115478,4156.247,372661035,1711900265,1247.424,436947069,1709508366,100.022,319726292,4370544994,1377.3230000000003,5597142621,1709508391,99.623,126861408,4370504454,1524.2790000000005
1273449689,-12.2288865,-76.9323143,3,,POINT (-76.9323143 -12.2288865),4103814916,1273536688,1574.156,5145408791,1674115478,4063.0319999999992,372661035,1711900265,532.227,235970579,1709508446,359.756,319726292,4370544994,1404.5760000000002,5597081605,2439174704,151.547,126861408,4370504454,2220.28
1273449976,-12.2384201,-76.9223472,3,,POINT (-76.9223472 -12.2384201),4103814916,1273536688,1003.442,5145408791,1674115478,6064.275999999998,371266564,4370544994,1173.378,436943045,1713628928,423.21599999999995,319726292,4370544994,1173.378,5593376419,4375898890,127.62299999999999,126861408,4370504454,3310.772
1273450466,-12.1902115,-76.9565909,4,,POINT (-76.95659089999999 -12.1902115),514314001,1405080822,2038.0409999999995,6695199631,1674115478,1590.3449999999998,9724186,4152129002,880.769,371830798,1674162935,822.3729999999999,318961595,1723415003,411.82599999999996,5597244224,1273894096,49.013,582726127,6617238591,3100.7230000000004
1273450969,-12.2052171,-76.9470573,3,,POINT (-76.9470573 -12.2052171),3748015510,5433685855,1062.5689999999997,5145408791,1674115478,930.751,370242982,4367138860,1122.9579999999999,371412611,1657677943,676.3190000000001,318181467,1273935394,1530.5739999999998,5597221798,5432485983,249.21300000000002,126861408,4370504454,2574.892
1273451353,-12.2214055,-76.9296943,3,,POINT (-76.92969429999999 -12.2214055),436951140,1723366145,1188.7340000000002,5145408791,1674115478,4147.398999999999,126861263,3792763316,1551.6070000000002,436947069,1709508366,614.934,319726292,4370544994,1527.2890000000002,5597132118,4149786024,265.372,126861408,4370504454,1014.15
1273454052,-12.1963374,-76.9513183,3,,POINT (-76.9513183 -12.1963374),5025093630,3756612329,929.725,6695199631,1674115478,769.6299999999999,370242982,4367138860,871.3710000000001,374030708,3749302105,460.18499999999995,318961595,1723415003,1141.578,5597224727,1273818551,355.89,154973504,6289932916,2485.4700000000003
1273454600,-12.2404318,-76.9214976,3,,POINT (-76.9214976 -12.2404318),4103814916,1273536688,1258.599,5145408791,1674115478,6372.112000000001,371266564,4370544994,1428.5349999999999,436943045,1713628928,363.022,319726292,4370544994,1428.5349999999999,5593376417,1273761331,129.97299999999998,126861408,4370504454,3618.608000000001
1273454918,-12.1893193,-76.9550136,4,,POINT (-76.9550136 -12.1893193),514314001,1405080822,2129.7019999999998,6695199631,1674115478,1682.0059999999999,9724186,4152129002,972.43,371830798,1674162935,624.2710000000001,318961595,1723415003,503.48699999999997,5597244224,1273894096,149.089,582726127,6617238591,3192.384
1273455155,-12.2064083,-76.9397769,3,,POINT (-76.9397769 -12.2064083),3748015500,4065954109,521.975,5145408791,1674115478,2059.0510000000004,126861263,3792763316,1366.9750000000001,423472397,1572825571,426.0559999999999,318181467,1273935394,929.092,5597209362,1273960130,99.836,126861408,4370504454,1467.719
1273455159,-12.2285674,-76.9143431,4,,POINT (-76.9143431 -12.2285674),3759586688,3756733907,556.899,5145408791,1674115478,7181.447000000002,371266564,4370544994,1730.2959999999998,8156706309,4341425376,834.9110000000001,319726292,4370544994,1730.2959999999998,5597046284,1752177884,1361.712,126861408,4370504454,3694.3330000000005
1273456078,-12.2111991,-76.9619699,3,,POINT (-76.9619699 -12.2111991),6416609277,1674228150,2625.4819999999995,5145408791,1674115478,1998.054,9724186,4152129002,2423.645000000001,371779476,3749287654,1115.473,318961595,1723415003,3222.2349999999997,5256528502,1663764968,2156.2859999999996,154973504,6289932916,3535.9010000000003
1273456961,-12.2023575,-76.9487823,3,,POINT (-76.9487823 -12.2023575),3748015510,5433685855,1431.698,5145408791,1674115478,561.622,370242982,4367138860,755.0039999999999,439087062,1273919973,664.73,318181467,1273935394,1899.7029999999997,5256559927,1657677805,215.30599999999998,126861408,4370504454,2944.021
1273458557,-12.2105652,-76.9487325,3,,POINT (-76.94873250000001 -12.2105652),3748015510,5433685855,1105.8709999999999,5145408791,1674115478,1603.092,436277181,5057286492,1268.707,370233098,1675043877,270.15500000000003,318181467,1273935394,1571.433,5256559938,5433696740,50.66,126861408,4370504454,2616.204
1273458569,-12.2432522,-76.922247,3,,POINT (-76.922247 -12.2432522),4103814916,1273536688,1702.1310000000003,5145408791,1674115478,6433.842000000002,371266564,4370544994,1872.0670000000002,799175879,1701741537,759.9189999999999,319726292,4370544994,1872.0670000000002,420269196,1711041629,249.782,126861408,4370504454,4062.1400000000003
1273461229,-12.2336135,-76.9160971,4,,POINT (-76.9160971 -12.2336135),3759586688,3756733907,936.1640000000001,5145408791,1674115478,6633.599000000004,371266564,4370544994,1182.4479999999999,8156706309,4341425376,287.063,319726292,4370544994,1182.4479999999999,5597046288,1754049938,765.6040000000002,126861408,4370504454,3146.4850000000006
1273462403,-12.1995614,-76.9504599,3,,POINT (-76.9504599 -12.1995614),5025093630,3756612329,1380.026,5145408791,1674115478,409.24000000000007,370242982,4367138860,614.7540000000001,374030708,3749302105,419.794,318961595,1723415003,1395.9769999999999,5597224730,1273462403,0.0,154973504,6289932916,2735.61
1273462827,-12.2283819,-76.9287876,3,,POINT (-76.92878760000001 -12.2283819),4103814916,1273536688,1138.729,5145408791,1674115478,4560.938,371266564,4370544994,969.1490000000001,235970579,1709508446,346.072,319726292,4370544994,969.1490000000001,5597081606,1709508468,354.64500000000004,126861408,4370504454,2030.4010000000003
1273462838,-12.2377058,-76.9227752,4,,POINT (-76.9227752 -12.2377058),4103814916,1273536688,918.946,5145408791,1674115478,5976.493999999999,371266564,4370544994,1086.522,436943045,1713628928,358.515,319726292,4370544994,1086.522,5593386761,1425314570,229.162,126861408,4370504454,3222.9900000000007
1273462902,-12.2095476,-76.9433788,3,,POINT (-76.9433788 -12.2095476),3748015510,5433685855,348.22700000000003,5145408791,1674115478,1651.1460000000002,436277181,5057286492,1619.2769999999998,423472397,1572825571,697.3419999999999,318181467,1273935394,814.242,5597209354,4149688943,298.45500000000004,126861408,4370504454,1858.5600000000002
1273462906,-12.2440781,-76.9223323,3,,POINT (-76.92233229999999 -12.2440781),4103814916,1273536688,1837.5350000000003,5145408791,1674115478,6476.000000000002,371266564,4370544994,2007.4710000000002,799175879,1701741537,614.986,319726292,4370544994,2007.4710000000002,420269196,1711041629,230.091,126861408,4370504454,4197.544000000001
1273463089,-12.2213183,-76.931332,3,,POINT (-76.931332 -12.2213183),436951140,1723366145,944.8670000000001,5145408791,1674115478,3903.5319999999997,126861263,3792763316,1595.863,436947069,1709508366,565.298,319723919,1273470841,1340.8960000000002,436947950,1273881000,209.995,126861408,4370504454,1058.406
1273463163,-12.2250184,-76.9639101,4,,POINT (-76.96391010000001 -12.2250184),6416609277,1674228150,3698.0499999999993,5145408791,1674115478,4115.501000000001,436277181,5057286492,2386.651,443795756,2465762615,808.3550000000001,318181467,1273935394,3272.2580000000003,371290611,3717263219,837.055,154973504,6289932916,4088.5610000000006
1273463267,-12.2089399,-76.9497132,3,,POINT (-76.94971320000001 -12.2089399),3748015510,5433685855,1313.4970000000003,5145408791,1674115478,1394.5000000000002,370242982,4367138860,1784.864,370233098,1675043877,358.69,318181467,1273935394,1780.625,5256559938,5433696740,458.17500000000007,126861408,4370504454,2825.396
1273463343,-12.2226428,-76.9289551,4,,POINT (-76.9289551 -12.2226428),436951140,1723366145,1348.0510000000002,5145408791,1674115478,4306.716,371266564,4370544994,1369.88,443904960,5436365820,557.884,319726292,4370544994,1369.88,5597132118,4149786024,109.711,126861408,4370504454,1172.2700000000002
1273464172,-12.2154367,-76.9452706,3,,POINT (-76.9452706 -12.2154367),3748015510,5433685855,1120.914,5145408791,1674115478,2214.7789999999995,436277181,5057286492,658.559,8169223621,4711675531,722.3729999999999,318181467,1273935394,965.0239999999998,5597197885,1572825715,51.094,126861408,4370504454,1910.619
1273464498,-12.1973572,-76.945746,3,,POINT (-76.945746 -12.1973572),5025093630,3756612329,871.0530000000002,5145408791,1674115478,923.254,370242982,4367138860,119.277,439087062,1273919973,430.25300000000004,318961595,1723415003,2004.7620000000006,5597194330,1404083923,402.894,126861408,4370504454,2812.543
1273466347,-12.1935728,-76.9474782,3,,POINT (-76.94747820000001 -12.1935728),5025093630,3756612329,360.248,6695199631,1674115478,1329.589,370242982,4367138860,625.109,374975688,1727308163,1228.2479999999998,318961595,1723415003,1597.79,371289128,1273964734,208.442,154973504,6289932916,2951.643
1273467095,-12.2350936,-76.9377576,3,,POINT (-76.9377576 -12.2350936),4103814916,1273536688,2390.1949999999997,5145408791,1674115478,4705.248,372661035,1711900265,906.8510000000001,158982392,8104803900,465.659,319726292,4370544994,2220.615,5593383529,1710944557,571.803,126861408,4370504454,3370.151999999999
1273467169,-12.2027437,-76.9464167,3,,POINT (-76.9464167 -12.2027437),3748015510,5433685855,1067.1049999999998,5145408791,1674115478,930.007,370242982,4367138860,922.3990000000001,439087062,1273919973,611.667,318181467,1273935394,1535.11,5597221801,1572825692,198.737,126861408,4370504454,2579.428
1273467297,-12.2387688,-76.917323,3,,POINT (-76.917323 -12.2387688),4103814916,1273536688,1043.1270000000002,5145408791,1674115478,6671.185000000001,371266564,4370544994,1213.063,443905034,1273523795,282.39099999999996,319726292,4370544994,1213.063,484212010,5366324957,48.011,126861408,4370504454,3515.8740000000007
1273467372,-12.1917742,-76.9452775,3,,POINT (-76.9452775 -12.1917742),5025093630,3756612329,208.189,6695199631,1674115478,1691.802,370242982,4367138860,982.0649999999999,374975688,1727308163,872.8409999999999,318961595,1723415003,1854.8020000000006,5597194328,1273491358,55.585,126861408,4370504454,3079.579
1273467376,-12.2332433,-76.921465,4,,POINT (-76.921465 -12.2332433),4103814916,1273536688,191.89600000000002,5145408791,1674115478,5857.1039999999975,371266564,4370544994,361.832,371266565,4370545040,87.256,319726292,4370544994,361.832,5593386762,1710500132,139.723,126861408,4370504454,2664.643
1273468872,-12.2077059,-76.9493759,3,,POINT (-76.94937590000001 -12.2077059),3748015510,5433685855,1311.3480000000002,5145408791,1674115478,1200.0159999999998,370242982,4367138860,1587.8259999999996,371412611,1657677943,409.953,318181467,1273935394,1778.476,5256559935,3749287643,408.908,126861408,4370504454,2823.2470000000003
1273469568,-12.2250155,-76.9340938,3,,POINT (-76.9340938 -12.2250155),436951140,1723366145,1468.0789999999997,5145408791,1674115478,3645.6049999999996,372661035,1711900265,1048.8619999999999,436947069,1709508366,418.85499999999996,319726292,4370544994,1824.1100000000001,5597127484,4370536199,181.88299999999998,126861408,4370504454,1698.903
1273469578,-12.2262077,-76.9361379,3,,POINT (-76.93613790000001 -12.2262077),436951140,1723366145,1725.8789999999995,5145408791,1674115478,3504.2729999999997,372661035,1711900265,892.6510000000001,235970579,1709508446,831.3340000000001,319723919,1273470841,2044.328,5597095203,5436378303,311.917,126861408,4370504454,1956.7030000000002
1273470546,-12.2157403,-76.9641284,3,,POINT (-76.96412840000001 -12.2157403),6416609277,1674228150,2201.93,5145408791,1674115478,2619.3810000000003,436277181,5057286492,2922.0169999999994,443795756,2465762615,1750.4739999999997,318961595,1723415003,3582.3289999999997,371290611,3717263219,1479.7689999999998,154973504,6289932916,3112.3490000000006
1273470828,-12.2292348,-76.9170784,3,,POINT (-76.91707839999999 -12.2292348),4103814916,1273536688,1302.695,5145408791,1674115478,6287.708000000002,371266564,4370544994,1472.1819999999996,8156706309,4341425376,576.797,319726292,4370544994,1472.1819999999996,5597046284,1752177884,124.042,126861408,4370504454,2800.594
1273470841,-12.2122436,-76.9379494,3,,POINT (-76.93794939999999 -12.2122436),7024483031,1572825711,48.491,5145408791,1674115478,2562.9719999999993,126861263,3792763316,855.0830000000001,448506440,1572825666,207.887,318181467,1273935394,100.922,5597203804,3783425154,258.786,126861408,4370504454,945.8839999999999
1273470967,-12.1924108,-76.9401693,3,,POINT (-76.94016929999999 -12.1924108),5025093630,3756612329,1587.541,5145408791,1674115478,2530.2009999999996,370242982,4367138860,1729.389,370795528,1674210842,378.34900000000005,318961595,1723415003,2618.0339999999997,5597194326,4367063686,114.804,126861408,4370504454,3178.543
1273471266,-12.2366252,-76.9388558,4,,POINT (-76.9388558 -12.2366252),4103814916,1273536688,2598.1530000000007,5145408791,1674115478,4913.205999999999,372661035,1711900265,1114.8089999999997,158982392,8104803900,116.30000000000001,319726292,4370544994,2428.5729999999994,5593383529,1710944557,222.44400000000002,126861408,4370504454,3578.1099999999983
1273471550,-12.2057905,-76.9396143,3,,POINT (-76.9396143 -12.2057905),435516594,7566229496,354.749,5145408791,1674115478,2059.5960000000005,370242982,4367138860,1266.4589999999998,423472397,1572825571,426.601,318181467,1273935394,1029.366,5597209362,1273960130,200.11,126861408,4370504454,1466.586
1273472091,-12.2013912,-76.942258,3,,POINT (-76.942258 -12.2013912),3748391249,4065928636,1027.346,5145408791,1674115478,1494.9049999999997,370242982,4367138860,695.852,439087062,1273919973,660.3059999999999,318181467,1273935394,1598.968,371412771,3895231067,50.797,126861408,4370504454,2035.476
1273472458,-12.2159802,-76.944399,4,,POINT (-76.944399 -12.2159802),3748015510,5433685855,1170.259,5145408791,1674115478,2264.1239999999993,436277181,5057286492,609.517,8169223621,4711675531,673.331,318181467,1273935394,1014.3689999999998,5597197885,1572825715,100.082,126861408,4370504454,1761.3389999999997
1273474002,-12.2323999,-76.914328,3,,POINT (-76.914328 -12.2323999),3759586688,3756733907,698.0790000000001,5145408791,1674115478,6809.028000000002,371266564,4370544994,1357.8769999999997,8156706309,4341425376,462.492,319726292,4370544994,1357.8769999999997,5593388272,1273678331,143.501,126861408,4370504454,3321.914
1273474808,-12.196864,-76.9594191,3,,POINT (-76.95941910000001 -12.196864),514314001,1405080822,954.1499999999999,6695199631,1674115478,1327.1850000000002,9724186,4152129002,908.234,372138435,1273483777,106.271,318961595,1723415003,1706.8239999999996,503289775,1273474808,0.0,154973504,6289932916,1492.5749999999998
1273475438,-12.2006646,-76.9476617,3,,POINT (-76.9476617 -12.2006646),5025093630,3756612329,1640.0930000000003,5145408791,1674115478,662.488,370242982,4367138860,655.192,439087062,1273919973,564.657,318961595,1723415003,1853.774,5597224734,4149608089,299.207,126861408,4370504454,2847.302
1273476445,-12.2241042,-76.9296674,3,,POINT (-76.9296674 -12.2241042),4103814916,1273536688,1586.2859999999998,5145408791,1674115478,4262.166999999999,371266564,4370544994,1416.35,436947069,1709508366,424.127,319726292,4370544994,1416.35,5597142621,1709508391,326.009,126861408,4370504454,1420.738
1273480364,-12.2244705,-76.9322215,3,,POINT (-76.9322215 -12.2244705),436951140,1723366145,1355.624,5145408791,1674115478,3897.0889999999995,372661035,1711900265,1203.7069999999999,436947069,1709508366,366.931,319726292,4370544994,1777.9890000000003,8271216,1273739266,99.781,126861408,4370504454,1568.1430000000005
1273481480,-12.2107576,-76.9437376,3,,POINT (-76.94373760000001 -12.2107576),3748015510,5433685855,355.021,5145408791,1674115478,1748.2610000000004,436277181,5057286492,1421.3870000000002,371412611,1657677943,653.0410000000002,318181467,1273935394,820.5829999999999,5597211410,1273481480,0.0,126861408,4370504454,1865.3540000000005
1273481915,-12.2460052,-76.9249591,4,,POINT (-76.9249591 -12.2460052),4103814916,1273536688,2180.496,5145408791,1674115478,6368.596000000001,371266564,4370544994,2350.4320000000002,799175879,1701741537,369.86800000000005,319726292,4370544994,2350.4320000000002,5593379783,4209224204,237.44299999999998,126861408,4370504454,4508.9800000000005
1273482808,-12.2302357,-76.9309561,3,,POINT (-76.9309561 -12.2302357),4103814916,1273536688,1428.6030000000003,5145408791,1674115478,4316.842000000001,372661035,1711900265,686.0100000000001,235970579,1709508446,508.29499999999996,319726292,4370544994,1259.0230000000001,5597081605,2439174704,104.255,126861408,4370504454,2373.505
1273483183,-12.2332974,-76.9390087,4,,POINT (-76.9390087 -12.2332974),4103814916,1273536688,2492.9950000000003,5145408791,1674115478,4468.139,372661035,1711900265,671.525,7578301152,3725402751,439.166,319726292,4370544994,2323.4149999999995,5593383521,4149825629,355.30899999999997,126861408,4370504454,3134.825999999999
1273483513,-12.205665,-76.9467864,4,,POINT (-76.94678639999999 -12.205665),3748015510,5433685855,1004.714,5145408791,1674115478,988.606,370242982,4367138860,1179.144,371412611,1657677943,618.464,318181467,1273935394,1472.7189999999998,5597221798,5432485983,205.923,126861408,4370504454,2517.037
1273483777,-12.1960319,-76.9599,3,,POINT (-76.9599 -12.1960319),514314001,1405080822,847.8789999999999,6695199631,1674115478,1325.6380000000001,9724186,4152129002,906.687,372138435,1273483777,0.0,318961595,1723415003,1705.2769999999996,5597243307,1273483777,0.0,154973504,6289932916,1490.532
1273484259,-12.2206679,-76.9695451,4,,POINT (-76.9695451 -12.2206679),6416609277,1674228150,3130.3079999999995,5145408791,1674115478,3547.759000000001,436277181,5057286492,3237.6739999999995,443795756,2465762615,1659.3780000000002,318181467,1273935394,4123.281000000001,371290611,3717263219,327.881,154973504,6289932916,3520.8190000000004
1273486172,-12.2295434,-76.9118093,4,,POINT (-76.9118093 -12.2295434),3759586688,3756733907,264.32800000000003,5145408791,1674115478,7329.1730000000025,371266564,4370544994,1878.0219999999997,8156706309,4341425376,982.637,319726292,4370544994,1878.0219999999997,442621023,3748480940,462.323,126861408,4370504454,3842.0590000000007
1273487180,-12.2166437,-76.9308658,3,,POINT (-76.93086580000001 -12.2166437),436951140,1723366145,1024.016,5145408791,1674115478,3983.017,126861263,3792763316,1167.506,443904950,1666006497,472.448,319723919,1273470841,1420.045,443904943,1273487180,0.0,126861408,4370504454,630.0489999999999
1273487455,-12.2344957,-76.9168497,3,,POINT (-76.9168497 -12.2344957),4103814916,1273536688,935.573,5145408791,1674115478,6556.211000000003,371266564,4370544994,1105.06,8156706309,4341425376,209.67499999999998,319726292,4370544994,1105.06,5593386945,4202128078,810.76,126861408,4370504454,3069.0970000000007
1273487684,-12.2239338,-76.9358247,3,,POINT (-76.9358247 -12.2239338),436951140,1723366145,1369.9649999999997,5145408791,1674115478,3345.505,372661035,1711900265,1146.61,371266557,1666719845,626.188,319723919,1273470841,1688.4140000000002,5597127477,1709508361,202.125,126861408,4370504454,1600.789
1273488825,-12.2293484,-76.9424298,3,,POINT (-76.9424298 -12.2293484),436951140,1723366145,2436.2270000000003,5145408791,1674115478,3999.196000000001,372661035,1711900265,1038.1119999999999,437679250,1710920305,350.59299999999996,319723919,1273470841,2754.604,5597186571,1273652628,109.27600000000001,126861408,4370504454,2667.050999999999
1273491203,-12.2210067,-76.924343,4,,POINT (-76.92434299999999 -12.2210067),4103814916,1273536688,1727.0520000000001,5145408791,1674115478,4901.404,371266564,4370544994,1558.3179999999995,375965020,4370536126,188.72099999999998,319726292,4370544994,1558.3179999999995,5597076175,1754044369,209.89,126861408,4370504454,1414.2900000000002
1273491358,-12.1913431,-76.9455364,3,,POINT (-76.94553639999999 -12.1913431),5025093630,3756612329,250.252,6695199631,1674115478,1747.387,370242982,4367138860,1037.6499999999999,374975688,1727308163,817.256,318961595,1723415003,1896.0880000000002,5597194328,1273491358,0.0,126861408,4370504454,3135.164
1273491679,-12.2232939,-76.9329235,3,,POINT (-76.9329235 -12.2232939),436951140,1723366145,1204.1740000000002,5145408791,1674115478,3746.4619999999995,372661035,1711900265,1353.6979999999999,436947069,1709508366,310.44899999999996,319723919,1273470841,1600.2030000000002,8271216,1273739266,146.60500000000002,126861408,4370504454,1416.6930000000002
1273492598,-12.2275931,-76.9347529,4,,POINT (-76.93475290000001 -12.2275931),4103814916,1273536688,1988.6530000000002,5145408791,1674115478,3661.6019999999994,372661035,1711900265,632.485,235970579,1709508446,573.7360000000001,319726292,4370544994,1819.0730000000003,5597095196,1711900202,100.158,126861408,4370504454,2113.176000000001
1273492841,-12.2286848,-76.9245629,3,,POINT (-76.9245629 -12.2286848),4103814916,1273536688,546.226,5145408791,1674115478,5272.483,371266564,4370544994,376.29,484198468,4370544978,215.64600000000002,319726292,4370544994,376.29,5597051460,1273878214,170.735,126861408,4370504454,1927.2329999999997
1273493000,-12.2403288,-76.9159652,3,,POINT (-76.9159652 -12.2403288),4103814916,1273536688,1350.3250000000003,5145408791,1674115478,6881.810000000001,371266564,4370544994,1520.2610000000002,372402214,1723340960,579.908,319726292,4370544994,1520.2610000000002,420269212,4370545179,194.791,126861408,4370504454,3823.072000000001
1273494369,-12.2289381,-76.9333307,3,,POINT (-76.9333307 -12.2289381),4103814916,1273536688,1722.311,5145408791,1674115478,3914.998999999999,372661035,1711900265,484.106,235970579,1709508446,407.22299999999996,319726292,4370544994,1552.7310000000002,5597095201,1709508539,52.002,126861408,4370504454,2267.7470000000003
1273495135,-12.1897385,-76.9392189,3,,POINT (-76.9392189 -12.1897385),5025093630,3756612329,1585.137,6695199631,1674115478,2973.729999999999,370242982,4367138860,2172.918,370795528,1674210842,402.033,318961595,1723415003,2615.6299999999997,370793881,4367063669,440.298,126861408,4370504454,3622.0719999999997
1273498240,-12.1924103,-76.9427662,3,,POINT (-76.94276619999999 -12.1924103),5025093630,3756612329,603.677,6695199631,1674115478,1691.6449999999998,370242982,4367138860,980.581,370795528,1674210842,1180.269,318961595,1723415003,2250.2799999999997,370793881,4367063669,1442.7920000000001,126861408,4370504454,3070.0220000000004
1273498257,-12.2337447,-76.9397861,4,,POINT (-76.93978610000001 -12.2337447),4103814916,1273536688,2591.0290000000005,5145408791,1674115478,4566.1359999999995,372661035,1711900265,769.5590000000001,7578301152,3725402751,341.13199999999995,319726292,4370544994,2421.448999999999,5593383521,4149825629,257.275,126861408,4370504454,3232.859999999999
1273500027,-12.2071551,-76.9448186,3,,POINT (-76.9448186 -12.2071551),3748015510,5433685855,655.142,5145408791,1674115478,1338.1779999999999,370242982,4367138860,1331.212,371412611,1657677943,467.319,318181467,1273935394,1123.147,5597211404,1572825513,148.732,126861408,4370504454,2167.4650000000006
1273500275,-12.2245471,-76.9254739,3,,POINT (-76.9254739 -12.2245471),4103814916,1273536688,1350.7290000000003,5145408791,1674115478,4900.341,371266564,4370544994,1181.9950000000001,443904960,5436365820,211.539,319726292,4370544994,1181.9950000000001,5597132120,4414250862,223.375,126861408,4370504454,1547.3729999999998
1273500890,-12.2411061,-76.9204013,3,,POINT (-76.92040129999999 -12.2411061),4103814916,1273536688,1353.274,5145408791,1674115478,6466.787,371266564,4370544994,1523.2099999999998,436943045,1713628928,457.69699999999995,319726292,4370544994,1523.2099999999998,5593376417,1273761331,304.659,126861408,4370504454,3713.2830000000004
1273501033,-12.2271993,-76.9369259,3,,POINT (-76.93692590000001 -12.2271993),436951140,1723366145,1904.882,5145408791,1674115478,3681.948999999999,372661035,1711900265,952.291,437679250,1710920305,688.392,319726292,4370544994,2237.3559999999998,5597095203,5436378303,369.059,126861408,4370504454,2135.706
